mouse_110_WT_C	mouse_110_WT_NC	mouse_148_WT_C	mouse_148_WT_NC	mouse_158_WT_C	mouse_158_WT_NC	mouse_183_KOMIR150_C	mouse_183_KOMIR150_NC	mouse_198_KOMIR150_C	mouse_198_KOMIR150_NC	mouse_206_KOMIR150_C	mouse_206_KOMIR150_NC	mouse_2670_KOTet3_C	mouse_2670_KOTet3_NC	mouse_7530_KOTet3_C	mouse_7530_KOTet3_NC	mouse_7531_KOTet3_C	mouse_7532_WT_NC	mouse_H510_WT_C	mouse_H510_WT_NC	mouse_H514_WT_C	mouse_H514_WT_NC
ENSMUSG00000042225.4	4.65998	5.56899	5.71026	5.31138	4.9178	5.48708	5.69833	6.78385	6.66479	6.63412	5.99286	9.76916	6.4917	4.94579	5.60567	5.38753	4.52149	4.96723	4.35927	3.38543	5.38994	6.05291
ENSMUSG00000047045.18	106.073	141.817	93.2226	135.042	111.087	142.18	112.645	145.556	109.769	152.956	100.807	135.846	102.405	157.596	91.9805	145.958	101.822	125.437	104.704	114.795	111.042	142.237
ENSMUSG00000042271.14	12.9238	23.7496	14.4552	21.7605	13.2279	18.6031	18.4091	29.2484	11.4906	15.5923	16.046	16.4148	10.9639	16.3983	12.9543	17.2402	8.18683	14.5941	9.46098	19.1848	11.7964	14.6138
ENSMUSG00000031274.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0.532718	0.112352	0.33163	0	0	0	0.108044	0	0
ENSMUSG00000000266.12	0.137845	0	0	0	0	0	0	0	0	0	0	0	0	0	0.290038	0	0	0	0	0	0	0
ENSMUSG00000031432.4	9.9455	17.8949	10.488	10.8643	11.1878	10.9498	9.64512	12.4198	8.50717	12.398	18.6034	16.3952	15.0915	15.8697	22.2423	12.8366	14.071	17.1966	14.416	18.4465	16.1282	14.5024
ENSMUSG00000042433.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031433.16	13.1234	11.8482	9.23388	8.67039	11.9226	15.4822	15.5088	11.8406	10.3508	10.9813	8.51019	10.6549	7.79191	13.5668	11.4018	10.4415	10.736	8.75491	7.27017	8.22142	9.35275	11.278
ENSMUSG00000031438.12	0.956127	1.61711	2.27175	1.52271	1.95192	1.46908	2.31704	2.43359	1.757	2.79987	1.01514	1.59353	1.45027	2.2645	0.829635	1.82597	1.09594	1.63732	1.96243	1.27581	1.25172	1.43131
ENSMUSG00000051257.4	0.770069	0	0.638341	0	1.23546	0	0	0	0	0	1.2823	0	0	0	0	0	0	0.689379	0	0	0	0
ENSMUSG00000042525.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031271.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
